id,userName,fullName,followedByYou,isVerified,profileUrl
289688956,waterloosci,Science at UWaterloo,FALSE,FALSE,https://www.instagram.com/waterloosci
2580379434,uwaterloosaf,School of Accounting & Finance,FALSE,FALSE,https://www.instagram.com/uwaterloosaf
469576618,uwaterloohealth,@UofWaterloo Faculty of Health,FALSE,FALSE,https://www.instagram.com/uwaterloohealth
638663549,wloowarriors,Waterloo Warriors,TRUE,FALSE,https://www.instagram.com/wloowarriors
1041745652,envwaterloo,University of Waterloo's Faculty of Environment,FALSE,FALSE,https://www.instagram.com/envwaterloo
8727678043,occuw,Off Campus Community,FALSE,FALSE,https://www.instagram.com/occuw
2045660194,the_graduate_house,The Graduate House,FALSE,FALSE,https://www.instagram.com/the_graduate_house
19826649640,uw_psychsoc,UW Psychology Society,FALSE,FALSE,https://www.instagram.com/uw_psychsoc
11794589510,wasawaterloo,WASA,FALSE,FALSE,https://www.instagram.com/wasawaterloo
1735313747,waterloolaurierssa,Waterloo Laurier SSA,FALSE,FALSE,https://www.instagram.com/waterloolaurierssa
28668747397,uw_hydroponics,UW Hydroponics Club,FALSE,FALSE,https://www.instagram.com/uw_hydroponics
35558041485,uw_animusic,UW Animusic Ensembles,FALSE,FALSE,https://www.instagram.com/uw_animusic
21901473403,uwsfpr,UWSFPR,FALSE,FALSE,https://www.instagram.com/uwsfpr
8655687921,isa.uw,ISA UW,FALSE,FALSE,https://www.instagram.com/isa.uw
27683599653,uw.movie.watchers,UW Movie Club,FALSE,FALSE,https://www.instagram.com/uw.movie.watchers
6071717386,uwcampuscompost,UW Campus Compost 🌱,FALSE,FALSE,https://www.instagram.com/uwcampuscompost
29656719689,uwsmf,UWaterloo SMF Society,FALSE,FALSE,https://www.instagram.com/uwsmf
37371194862,uwquizbowl,UWaterloo Quizbowl,FALSE,FALSE,https://www.instagram.com/uwquizbowl
15410077229,uwhistory,UWaterloo History Society,FALSE,FALSE,https://www.instagram.com/uwhistory
42961589309,sju_edi,SJU EDI Student Reps,FALSE,FALSE,https://www.instagram.com/sju_edi
38654061520,uwaterloo.can,UW Pharm Community Action Now,FALSE,FALSE,https://www.instagram.com/uwaterloo.can
8543430091,psciwaterloo,,FALSE,FALSE,https://www.instagram.com/psciwaterloo
43510610102,bfc_uw,Black Faculty Collective UW,FALSE,FALSE,https://www.instagram.com/bfc_uw
42638403319,wusacaps,WUSA CAPS,FALSE,FALSE,https://www.instagram.com/wusacaps
42618597359,bistro_519,BISTRO519,FALSE,FALSE,https://www.instagram.com/bistro_519
6076751640,uwchemclub,UW Chem Club,FALSE,FALSE,https://www.instagram.com/uwchemclub
42086255134,uwaterloodsc,Waterloo Data Science Club,FALSE,FALSE,https://www.instagram.com/uwaterloodsc
42127119639,womeninhealthcareuw,UW Women in Healthcare 👩‍⚕️,FALSE,FALSE,https://www.instagram.com/womeninhealthcareuw
30187778166,uwredress,"REDress Project, UW",FALSE,FALSE,https://www.instagram.com/uwredress
23129030841,hanvoicewaterloo,HanVoice Waterloo,FALSE,FALSE,https://www.instagram.com/hanvoicewaterloo
44335608761,womeninlawuw,Women in Law UW,FALSE,FALSE,https://www.instagram.com/womeninlawuw
44217549390,uwagsa,UofWaterloo African GSA,FALSE,FALSE,https://www.instagram.com/uwagsa
40202780058,uwmhip,UW Mental Health in Pharmacy,FALSE,FALSE,https://www.instagram.com/uwmhip
40989036611,uw_bloodteam,Next Generation Lifeline,FALSE,FALSE,https://www.instagram.com/uw_bloodteam
44044738838,watsolvecg,WatSolve Consulting Group,FALSE,FALSE,https://www.instagram.com/watsolvecg
43553451628,bleedforchange,Bleed for Change,FALSE,FALSE,https://www.instagram.com/bleedforchange
43395021632,uwplanning,School of Planning,FALSE,FALSE,https://www.instagram.com/uwplanning
43979787834,uwsupportingsickkids,UW Supporting SickKids,FALSE,FALSE,https://www.instagram.com/uwsupportingsickkids
18106394521,uwaterloocoop_cee,University of Waterloo CEE,FALSE,FALSE,https://www.instagram.com/uwaterloocoop_cee
44732522983,birdsxencouragement,Birds of Encouragement,FALSE,FALSE,https://www.instagram.com/birdsxencouragement
44680788532,uw.gsa,University of Waterloo Gujarati Students Association,FALSE,FALSE,https://www.instagram.com/uw.gsa
6263436736,uwengambassadors,UW Engineering Ambassadors,FALSE,FALSE,https://www.instagram.com/uwengambassadors
3212878735,uwecologylab,Ecology Lab at UWaterloo,FALSE,FALSE,https://www.instagram.com/uwecologylab
41819327460,uwcompounding,UWaterloo Compounding Club,FALSE,FALSE,https://www.instagram.com/uwcompounding
22724802716,theuwradicle,The UW Radicle,FALSE,FALSE,https://www.instagram.com/theuwradicle
45450272459,eawaterloo,Effective Altruism,FALSE,FALSE,https://www.instagram.com/eawaterloo
40036820640,unlearningsociety,Unlearning Society,FALSE,FALSE,https://www.instagram.com/unlearningsociety
45607018109,uwbookclub,UW Book Club,FALSE,FALSE,https://www.instagram.com/uwbookclub
654861145,csuhotsxfyvz,University of Waterloo,FALSE,FALSE,https://www.instagram.com/csuhotsxfyvz
10620812300,global.spark,Global Spark,FALSE,FALSE,https://www.instagram.com/global.spark
20192383622,watiszine,WAT Is Zine?,FALSE,FALSE,https://www.instagram.com/watiszine
6199735900,uw_osp,UW OSP,FALSE,FALSE,https://www.instagram.com/uw_osp
43482211409,uwcsclub,UWaterloo Computer Science Club (UWCSC),TRUE,FALSE,https://www.instagram.com/uwcsclub
10164573198,sdgimpactalliance,UW SDG Impact Alliance,FALSE,FALSE,https://www.instagram.com/sdgimpactalliance
45250932421,uwmef,UW Math Endowment Fund,FALSE,FALSE,https://www.instagram.com/uwmef
41627824872,uwalphaeducation,UW ALPHA,FALSE,FALSE,https://www.instagram.com/uwalphaeducation
47342075281,uw.marketing,UW Marketing Association,FALSE,FALSE,https://www.instagram.com/uw.marketing
36152478425,uwengwell,UW Engineering Wellness,FALSE,FALSE,https://www.instagram.com/uwengwell
45225596697,aiesecinwaterloo,AIESEC in Waterloo,FALSE,FALSE,https://www.instagram.com/aiesecinwaterloo
42434160151,uwaterlooufo,"Universal Finance Organization, UWaterloo (UFO)",FALSE,FALSE,https://www.instagram.com/uwaterlooufo
